iteration=1, cost value=0.03989, tau=0.00500, solver status=optimal
iteration=2, cost value=1.23678, tau=0.00600, solver status=optimal
iteration=3, cost value=1.23692, tau=0.00720, solver status=optimal
iteration=4, cost value=1.23692, tau=0.00864, solver status=optimal
iteration=1, cost value=0.04766, tau=0.00500, solver status=optimal
iteration=2, cost value=1.06131, tau=0.00600, solver status=optimal
iteration=3, cost value=1.23683, tau=0.00720, solver status=optimal
iteration=4, cost value=1.23692, tau=0.00864, solver status=optimal
iteration=5, cost value=1.23692, tau=0.01037, solver status=optimal
iteration=1, cost value=0.21212, tau=0.00500, solver status=optimal
iteration=2, cost value=1.23690, tau=0.00600, solver status=optimal
iteration=3, cost value=1.23692, tau=0.00720, solver status=optimal
iteration=4, cost value=1.23692, tau=0.00864, solver status=optimal
iteration=1, cost value=0.02369, tau=0.00500, solver status=optimal
iteration=2, cost value=1.23676, tau=0.00600, solver status=optimal
iteration=3, cost value=1.23692, tau=0.00720, solver status=optimal
iteration=4, cost value=1.23692, tau=0.00864, solver status=optimal
iteration=1, cost value=0.47133, tau=0.00500, solver status=optimal
iteration=2, cost value=1.23692, tau=0.00600, solver status=optimal
iteration=3, cost value=1.23692, tau=0.00720, solver status=optimal
iteration=1, cost value=0.07912, tau=0.00500, solver status=optimal
iteration=2, cost value=1.22296, tau=0.00600, solver status=optimal
iteration=3, cost value=1.23692, tau=0.00720, solver status=optimal
iteration=4, cost value=1.23692, tau=0.00864, solver status=optimal
iteration=1, cost value=0.02967, tau=0.00500, solver status=optimal
iteration=2, cost value=1.22935, tau=0.00600, solver status=optimal
iteration=3, cost value=1.23692, tau=0.00720, solver status=optimal
iteration=4, cost value=1.23692, tau=0.00864, solver status=optimal
iteration=1, cost value=0.00853, tau=0.00500, solver status=optimal
iteration=2, cost value=1.23638, tau=0.00600, solver status=optimal
iteration=3, cost value=1.23692, tau=0.00720, solver status=optimal
iteration=4, cost value=1.23692, tau=0.00864, solver status=optimal
iteration=1, cost value=0.01083, tau=0.00500, solver status=optimal
iteration=2, cost value=1.23692, tau=0.00600, solver status=optimal
iteration=3, cost value=1.23692, tau=0.00720, solver status=optimal
iteration=1, cost value=0.17945, tau=0.00500, solver status=optimal
iteration=2, cost value=1.23692, tau=0.00600, solver status=optimal
iteration=3, cost value=1.23692, tau=0.00720, solver status=optimal
iteration=1, cost value=0.30683, tau=0.00500, solver status=optimal
iteration=2, cost value=1.23692, tau=0.00600, solver status=optimal
